districtCode,constituencyName,prefixRaw,prefix,firstName,lastName,email,ministryEmail,partyName,partyAbbreviationRaw,partyAbbreviation,roles,electionYears,isHonourable,honourableTitle,isDoctor,doctorTitle,isCounsel,counselTitle,profileUrl,imagePath,imageDescription,legOfficeRoom,legOfficePhoneRaw,legOfficePhone,legOfficeFaxRaw,legOfficeFax,legBuildingAddress,legBuildingCity,legBuildingPostalCode,conOfficeAddressRaw,conOfficeSuite,conOfficeStreet,conOfficePOBox,conOfficeCity,conOfficePostalCode,conOfficePhoneRaw,conOfficePhone,conOfficeFaxRaw,conOfficeFax,conOfficeTollFreeRaw,conOfficeTollFree,conOfficeEmail
ABS,Abbotsford South,Mr.,Mr.,Bruce,Banman,Bruce.Banman.MLA@leg.bc.ca,,Independent,Independent,Independent,,"2020, 2024",False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Banman-Bruce,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Banman-Bruce.jpg,MLA Bruce Banman,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,"#304 - 2031, McCallum Rd",304,2031 McCallum Rd,,Abbotsford,V2S 3N5,6047440700,(604) 744-0700,6047440701,(604) 744-0701,,,
ABW,Abbotsford West,Mr.,Mr.,Korky,Neufeld,Korky.Neufeld.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Neufeld-Korky,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Neufeld-Korky.jpg,MLA Korky Neufeld,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,#103 - 32660 George Ferguson Way,103,32660 George Ferguson Way,,Abbotsford,V2T 4V6,6048705486,(604) 870-5486,6048705444,(604) 870-5444,,,
BDS,Boundary-Similkameen,Ms.,Ms.,Donegal,Wilson,Donegal.Wilson.MLA@leg.bc.ca,,Independent,Independent,Independent,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Wilson-Donegal,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Wilson-Donegal.jpg,MLA Donegal Wilson,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,712 5th Street,,712 5th Street,,Keremeos,V0X 1N0,,,,,,,
BLS,Bulkley Valley-Stikine,Ms.,Ms.,Sharon,Hartwell,Sharon.Hartwell.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Hartwell-Sharon,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Hartwell-Sharon.jpg,MLA Sharon L. Hartwell,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,1164 Main Street,,1164 Main Street,,Smithers,V0J 2N0,778 640-1116,(778) 640-1116,,,,,
BNC,Burnaby Centre,Ms.,Ms.,Anne,Kang,Anne.Kang.MLA@leg.bc.ca,TACS.Minister@gov.bc.ca,British Columbia New Democratic Party,BC NDP,NDP,"Minister of Tourism, Arts, Culture and Sport","2017, 2020, 2024",True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Kang-Anne,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Kang-Anne.jpg,MLA Anne Kang,Post-Secondary Education and Future Skills,2503560179,(250) 356-0179,,,Parliament Buildings,Victoria,V8V 1X4,105-6411 Nelson Avenue,105,6411 Nelson Avenue,,Burnaby,V5H 4H3,604-775-0565,(604) 775-0565,604-775-2550,(604) 775-2550,,,
BNE,Burnaby East,Mrs.,Mrs.,Rohini,Arora,Rohini.Arora.MLA@leg.bc.ca,,British Columbia New Democratic Party,BC NDP,NDP,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Arora-Rohini,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Arora-Rohini.jpg,MLA Rohini Arora,Parliament Buildings,,,,,Parliament Buildings,Victoria,V8V 1X4,Unit 3 - 8699 10th Ave.,3,8699 10th Ave,,Burnaby,V3N 2S9,6046605058,(604) 660-5058,,,,,Rohini.Arora.MLA@leg.bc.ca
BNN,Burnaby-New Westminster,Mr.,Mr.,Raj,Chouhan,Raj.Chouhan.MLA@leg.bc.ca,,British Columbia New Democratic Party,BC NDP,NDP,Speaker of the Legislative Assembly,"2005, 2009, 2013, 2017, 2020, 2024",True,Hon.,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Chouhan-Raj,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Chouhan-Raj.jpg,MLA Raj Chouhan,Speaker,,,,,Parliament Buildings,Victoria,V8V 1X4,923 12th Street,,923 12th Street,,New Westminster,V3M 4K7,6046607301,(604) 660-7301,6046607304,(604) 660-7304,,,Raj.Chouhan.MLA@leg.bc.ca
BNO,Burnaby North,Ms.,Ms.,Janet,Routledge,Janet.Routledge.mla@leg.bc.ca,,British Columbia New Democratic Party,BC NDP,NDP,,"2017, 2020, 2024",False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Routledge-Janet,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Routledge-Janet.jpg,MLA Janet Routledge,Parliament Buildings,,,,,Parliament Buildings,Victoria,V8V 1X4,4270 Hastings Street,,4270 Hastings Street,,Burnaby,V5C 0J6,6047750778,(604) 775-0778,6047750833,(604) 775-0833,,,Janet.Routledge.mla@leg.bc.ca
BNS,Burnaby South-Metrotown,Mr.,Mr.,Paul,Choi,Paul.Choi.MLA@leg.bc.ca,,British Columbia New Democratic Party,BC NDP,NDP,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Choi-Paul,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Choi-Paul.jpg,MLA Paul Choi,Parliament Buildings,,,,,Parliament Buildings,Victoria,V8V 1X4,5234 Rumble Street,,5234 Rumble Street,,Burnaby,V5J 2B6,6046600855,(604) 660-0855,,,,,Paul.Choi.MLA@leg.bc.ca
CBC,Cariboo-Chilcotin,Mr.,Mr.,Lorne,Doerkson,Lorne.Doerkson.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,"2020, 2024",False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Doerkson-Lorne,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Doerkson-Lorne.jpg,MLA Lorne Doerkson,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,"#7 - 530 Horse Lake Road, PO Box  95",7,530 Horse Lake Road,PO Box 95,100 Mile House,V0K 2E0,2503953916,(250) 395-3916,,,866-305-3804,1-866-305-3804,
CHC,Chilliwack-Cultus Lake,,Ms.,Á'a:líya,Warbus,Aaliya.Warbus.MLA@leg.bc.ca,,Independent,Independent,Independent,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Warbus-%C3%81'a%3Al%C3%ADya,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/A'aliya Warbus.jpg,MLA A'aliya Warbus,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,Unit J4 6640 Vedder Road,J4,6640 Vedder Road,,Chilliwack,V2R 0J2,604-858-5299,(604) 858-5299,,,,,
CHN,Chilliwack North,Ms.,Ms.,Heather,Maahs,Heather.Maahs.MLA@leg.bc.ca,,Conservative Party of British Columbia,Conservative Party of British Columbia,Conservative,,2024,False,,False,,False,,https://www.leg.bc.ca/members/43rd-Parliament/Maahs-Heather,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Heather Maahs Updated Photo.jpeg,MLA Heather Maahs,Room 201,2503873507,(250) 387-3507,,,Parliament Buildings,Victoria,V8V 1X4,#1-45953 Airport Road,1,45953 Airport Road,,Chilliwack,V2P 1A3,604-702-5214,(604) 702-5214,,,,,
